Restaurant,Location,Theme Park,Breakfast Price,Lunch/Dinner Price,Vegetarian Options,Type Of Service,Established
Mendocino Terrace,Performance Corridor,Disney California Adventure,$$,$$,Yes,Quick Service,"June 17, 2021"
Sonoma Terrace,Performance Corridor,Disney California Adventure,$,$,Yes,Quick Service,"February 8, 2001"
Wine Country Trattoria,Performance Corridor,Disney California Adventure,N/A,$$,Yes,Table Service,"February 8, 2001"
Adorable Snowman Frosted Treats,Pixar Pier,Disney California Adventure,$,$,Yes,Kiosk,"May 1, 2018"
Angry Dogs,Pixar Pier,Disney California Adventure,$,$,No,Kiosk,"June 23, 2018"
Jack-Jack's Cookie Num Nums,Pixar Pier,Disney California Adventure,$,$,Yes,Kiosk,"June 23, 2018"
Lamplight Lounge Dining Room,Pixar Pier,Disney California Adventure,$$,$$,Yes,Table Service,"June 23, 2018"
Lamplight Lounge- Boardwalk Dining,Pixar Pier,Disney California Adventure,N/A,N/A,Yes,Bar/Lounge,"June 23, 2018"
Poultry Palace,Pixar Pier,Disney California Adventure,$,$,No,Kiosk,"June 23, 2018"
Señor Buzz Churros,Pixar Pier,Disney California Adventure,$,$,Yes,Kiosk,"June 23, 2018"
Aunt Cass Cafe,San Fransokyo Square,Disney California Adventure,N/A,$,Yes,Quick Service,"August 31, 2023"
Cappuccino Cart,San Fransokyo Square,Disney California Adventure,$,$,Yes,Kiosk,"February 8, 2001"
Cocina Cucamonga Mexican Grill,San Fransokyo Square,Disney California Adventure,N/A,$,Yes,Quick Service,"February 8, 2001"
Ghirardelli Soda Fountain and Chocolate Shop,San Fransokyo Square,Disney California Adventure,$,$,Yes,Quick Service,"June 7, 2012"
Lucky Fortune Cookery,San Fransokyo Square,Disney California Adventure,N/A,$,Yes,Quick Service,"July 19, 2023"
Port of San Fransokyo Cervecería,San Fransokyo Square,Disney California Adventure,N/A,$,Yes,Quick Service,"July 26, 2023"
Rita's Turbine Blenders,San Fransokyo Square,Disney California Adventure,$,$,Yes,Kiosk,"July 26, 2023"
Bengal Barbecue,Adventureland,Disneyland Park,$,$,Yes,Quick Service,"June 4, 1992"
Tiki Juice Bar,Adventureland,Disneyland Park,$,$,Yes,Kiosk,"June 17, 2021"
Tropical Hideaway,Adventureland,Disneyland Park,$,$,Yes,Quick Service,"December 19, 2018"
Tropical Imports,Adventureland,Disneyland Park,$,$,Yes,Quick Service,"January 10, 1967"
Harbour Galley,Bayou Country,Disneyland Park,N/A,$,Yes,Quick Service,"July 1, 2021"
Hungry Bear Barbecue Jamboree,Bayou Country,Disneyland Park,N/A,$$,Yes,Quick Service,"October 25, 2024"
Edelweiss Snacks,Fantasyland,Disneyland Park,$,$,Yes,Kiosk,"September 25, 2009"
Maurice's Treats,Fantasyland,Disneyland Park,$,$,Yes,Snack Cart,"March 12, 2013"
Red Rose Taverne,Fantasyland,Disneyland Park,$,$,Yes,Quick Service,"February 24, 2017"
Troubadour TavernUpdated,Fantasyland,Disneyland Park,$,$,Yes,Kiosk,"April 15, 1983"
Golden Horseshoe,Frontierland,Disneyland Park,N/A,$,No,Quick Service,"July 17, 1955"
Rancho del Zocalo,Frontierland,Disneyland Park,N/A,$,Yes,Quick Service,"February 6, 2001"
River Belle Terrace,Frontierland,Disneyland Park,$,$$$,Yes,Table Service,"August 17, 1955"
Stage Door Cafe,Frontierland,Disneyland Park,N/A,$,Yes,Quick Service,"September 12, 1978"
Carnation Cafe,"Main Street, U.S.A.",Disneyland Park,$,$$,Yes,Table Service,"July 17, 1955"
Coca-Cola Refreshment Corner,"Main Street, U.S.A.",Disneyland Park,N/A,$,Yes,Quick Service,"July 17, 1955"
Gibson Girl Ice Cream Parlor,"Main Street, U.S.A.",Disneyland Park,$,$,Yes,Kiosk,"November 25, 1997"
Jolly Holiday Bakery Cafe,"Main Street, U.S.A.",Disneyland Park,$,$,Yes,Quick Service,"November 25, 1997"
Market House,"Main Street, U.S.A.",Disneyland Park,$,$,Yes,Quick Service,"July 17, 1955"
Plaza Inn,"Main Street, U.S.A.",Disneyland Park,$$,$$,Yes,Buffet,"July 18, 1965"
Blue Bayou,New Orleans Square,Disneyland Park,N/A,$$$,Yes,Table Service,"March 18, 1967"
Cafe Orleans,New Orleans Square,Disneyland Park,N/A,$$,Yes,Table Service,"July 24, 1966"
Mint Julep Bar,New Orleans Square,Disneyland Park,$,$,Yes,Kiosk,"July 24, 1966"
Royal Street Veranda,New Orleans Square,Disneyland Park,N/A,$,Yes,Quick Service,"July 17, 1955"
Tiana's Palace,New Orleans Square,Disneyland Park,N/A,$,Yes,Quick Service,"September 7, 2023"
Docking Bay 7 Food and Cargo,Star Wars: Galaxy's Edge,Disneyland Park,$,$,Yes,Quick Service,"May 31, 2019"
Kat Saka's Kettle,Star Wars: Galaxy's Edge,Disneyland Park,$,$,Yes,Quick Service,"July 15, 2021"
Milk Stand,Star Wars: Galaxy's Edge,Disneyland Park,$,$,Yes,Quick Service,"May 31, 2019"
Oga's Cantina DLR,Star Wars: Galaxy's Edge,Disneyland Park,$$,$$,Yes,Bar/Lounge,2019
Ronto Roasters,Star Wars: Galaxy's Edge,Disneyland Park,$,$,Yes,Quick Service,2019
"Alien Pizza Planet - ""A Better Place""",Tomorrowland,Disneyland Park,N/A,$$,Yes,Quick Service,2018
Galactic Grill,Tomorrowland,Disneyland Park,$,$$,Yes,Quick Service,2001
Cafe Daisy,Toontown,Disneyland Park,$,$,Yes,Quick Service,2023
Good Boy! Grocers,Toontown,Disneyland Park,$,$,Yes,Quick Service,2023
Arthur & Sons Steak and Bourbon,Downtown Disney,Downtown Disney,N/A,$$$,No,Table Service,TBA
Ballast Point,Downtown Disney,Downtown Disney,N/A,$$,Yes,Table Service,2019
Beignets Expressed,Downtown Disney,Downtown Disney,$,$,Yes,Quick Service,2023
Black Tap Craft Burgers and Shakes,Downtown Disney,Downtown Disney,N/A,$$,Yes,Quick Service,2019
Blue Ribbon Corn Dogs Disneyland,Downtown Disney,Downtown Disney,$,$,Yes,Kiosk,2024
Céntrico,Downtown Disney,Downtown Disney,N/A,$$,Yes,Table Service,2024
Clyde's Hot Chicken,Downtown Disney,Downtown Disney,$,$,No,Quick Service,2019
Diggity Dogs,Downtown Disney,Downtown Disney,$,$,No,Snack Cart,2009
Din Tai Fung,Downtown Disney,Downtown Disney,N/A,$$$,Yes,Table Service,2024
Earl of Sandwich,Downtown Disney,Downtown Disney,$,$,Yes,Quick Service,2012
Earl of Sandwich Tavern Restaurant & Bar,Downtown Disney,Downtown Disney,N/A,$$,Yes,Table Service,2012
GG's Chicken Shop,Downtown Disney,Downtown Disney,$,$,Yes,Quick Service,2025
Jamba,Downtown Disney,Downtown Disney,$,$,Yes,Quick Service,2020
Jazz Kitchen Coastal Grill & Patio,Downtown Disney,Downtown Disney,N/A,$$$,Yes,Table Service,2023
Kayla's Cake,Downtown Disney,Downtown Disney,$,$,Yes,Quick Service,2025
Naples,Downtown Disney,Downtown Disney,$$,$$,Yes,Table Service,2019
NapoliniUpdated,Downtown Disney,Downtown Disney,N/A,$,Yes,Quick Service,2019
Paseo,Downtown Disney,Downtown Disney,$$,$$,Yes,Table Service,2024
Pearl’s Roadside BBQ,Downtown Disney,Downtown Disney,$$,$$,Yes,Quick Service,TBA
Salt & Straw DLRUpdated,Downtown Disney,Downtown Disney,$,$,Yes,Quick Service,2018
Seoul Sister,Downtown Disney,Downtown Disney,$,$,Yes,Quick Service,2025
Sip & Sonder,Downtown Disney,Downtown Disney,$,$,Yes,Quick Service,2025
Splitsville Luxury Lanes,Downtown Disney,Downtown Disney,$$,$$,Yes,Table Service,2018
Starbucks Downtown Disney,Downtown Disney,Downtown Disney,$,$,Yes,Quick Service,2014
Starbucks West Downtown Disney,Downtown Disney,Downtown Disney,$,$,Yes,Quick Service,2014
The Carnaby Tavern,Downtown Disney,Downtown Disney,$$,$$,Yes,Table Service,TBA
The Funnel Cakery,Downtown Disney,Downtown Disney,$,$,Yes,Quick Service,2014
Tiendita,Downtown Disney,Downtown Disney,$,$,Yes,Quick Service,2024
Tortilla Jo's,Downtown Disney,Downtown Disney,N/A,$$,Yes,Table Service,2004
Vista Parkside Market,Downtown Disney,Downtown Disney,$$,$$,Yes,Bar/Lounge,2025
Wetzel's Pretzels,Downtown Disney,Downtown Disney,$,$,Yes,Quick Service,2018
Disneyland Hotel In-Room Dining,Disneyland Hotel,Hotels,N/A,$$,Yes,Room Service,1955
Goofy's KitchenUpdated,Disneyland Hotel,Hotels,$$,$$,Yes,Buffet,1992
Steakhouse 55,Disneyland Hotel,Hotels,$$$,$$$,Yes,Table Service,2006
Tangaroa Terrace Tropical Bar & Grill,Disneyland Hotel,Hotels,$,$,Yes,Quick Service,2019
The Coffee House,Disneyland Hotel,Hotels,$,$,Yes,Quick Service,1955
The Lounge,Disneyland Hotel,Hotels,N/A,$,Yes,Bar/Lounge,2025
Trader Sam's Enchanted Tiki Bar,Disneyland Hotel,Hotels,$,$,Yes,Table Service,2011
Great Maple,Disney's Pixar Place Hotel,Hotels,$$,$$,Yes,Table Service,2023
Sketch Pad Café,Disney's Pixar Place Hotel,Hotels,$,$,Yes,Quick Service,2024
Small Bytes,Disney's Pixar Place Hotel,Hotels,$,$,Yes,Bar/Lounge,2024
GCH Craftsman Bar,Grand Californian,Hotels,$$,$$,Yes,Bar/Lounge,2019
GCH Craftsman GrillUpdated,Grand Californian,Hotels,$$,$$,Yes,Table Service,2019
Grand Californian In-Room Dining,Grand Californian,Hotels,$,$,Yes,Room Service,2021
Hearthstone Lounge,Grand Californian,Hotels,$$,$$,Yes,Table Service,2019
Napa Rose,Grand Californian,Hotels,N/A,$$$,Yes,Table Service,2001
Napa Rose Lounge,Grand Californian,Hotels,N/A,$$$,Yes,Bar/Lounge,2001
Storyteller's Cafe,Grand Californian,Hotels,$$,$$,Yes,Buffet,2001
Paradise Pier In-Room Dining,Paradise Pier Hotel,Hotels,$,$,Yes,Room Service,1984
PCH Grill,Paradise Pier Hotel,Hotels,N/A,$$,Yes,Buffet,2001
Surfside Lounge,Paradise Pier Hotel,Hotels,$$,$$,Yes,Bar/Lounge,2000
Palm Breeze Bar,Villas at the Disneyland Hotel,Hotels,$$,$$,Yes,Bar/Lounge,2023
